num 	nn0 	nn0 	age_value 
1832 	0.1847754233 	0.1847754233 	4.975979e-03 	
349 	0.1847886791 	0.1847886791 	4.975979e-03 	
1508 	0.1852340725 	0.1852340725 	4.975979e-03 	
1020 	0.1856078096 	0.1856078096 	4.975979e-03 	
146 	0.1860366755 	0.1860366755 	4.975979e-03 	
1451 	0.186234626 	0.186234626 	4.975979e-03 	
1229 	0.1872799566 	0.1872799566 	4.975979e-03 	
1902 	0.1875620583 	0.1875620583 	4.975979e-03 	
1823 	0.1878005807 	0.1878005807 	4.975979e-03 	
52 	0.1873397248 	0.1873397248 	4.975979e-03 	
572 	0.1877277403 	0.1877277403 	4.975979e-03 	
725 	0.1885886653 	0.1885886653 	4.975979e-03 	
1463 	0.1880343365 	0.1880343365 	4.975979e-03 	
12 	0.1886447889 	0.1886447889 	4.975979e-03 	
472 	0.1888748259 	0.1888748259 	4.975979e-03 	
95 	0.1902527527 	0.1902527527 	4.975979e-03 	
319 	0.1901480061 	0.1901480061 	4.975979e-03 	
182 	0.1904876139 	0.1904876139 	4.975979e-03 	
1999 	0.1910629411 	0.1910629411 	4.975979e-03 	
1414 	0.1913896151 	0.1913896151 	4.975979e-03 	
1733 	0.19243176 	0.19243176 	4.975979e-03 	
1663 	0.1917405024 	0.1917405024 	4.975979e-03 	
1649 	0.192468036 	0.192468036 	4.975979e-03 	
1190 	0.1929879944 	0.1929879944 	4.975979e-03 	
536 	0.1929949601 	0.1929949601 	4.975979e-03 	
105 	0.194373101 	0.194373101 	4.975979e-03 	
1761 	0.1933264334 	0.1933264334 	4.975979e-03 	
1908 	0.1945374354 	0.1945374354 	4.975979e-03 	
1775 	0.1943856054 	0.1943856054 	4.975979e-03 	
1962 	0.1946801432 	0.1946801432 	4.975979e-03 	
1302 	0.1948253745 	0.1948253745 	4.975979e-03 	
257 	0.1948475699 	0.1948475699 	4.975979e-03 	
1580 	0.1950401819 	0.1950401819 	4.975979e-03 	
1879 	0.1960800208 	0.1960800208 	4.975979e-03 	
1948 	0.1954515041 	0.1954515041 	4.975979e-03 	
1092 	0.1949618973 	0.1949618973 	4.975979e-03 	
1939 	0.1960862292 	0.1960862292 	4.975979e-03 	
570 	0.1962718638 	0.1962718638 	4.975979e-03 	
191 	0.1966490288 	0.1966490288 	4.975979e-03 	
869 	0.1970393262 	0.1970393262 	4.975979e-03 	
648 	0.1967044364 	0.1967044364 	4.975979e-03 	
1168 	0.1972701531 	0.1972701531 	4.975979e-03 	
94 	0.1973383914 	0.1973383914 	4.975979e-03 	
909 	0.1977869548 	0.1977869548 	4.975979e-03 	
1059 	0.1982607125 	0.1982607125 	4.975979e-03 	
1528 	0.1980850364 	0.1980850364 	4.975979e-03 	
1182 	0.1988396096 	0.1988396096 	4.975979e-03 	
189 	0.1989172858 	0.1989172858 	4.975979e-03 	
114 	0.1994156596 	0.1994156596 	4.975979e-03 	
786 	0.199502176 	0.199502176 	4.975979e-03 	
1052 	0.2008719881 	0.2008719881 	4.975979e-03 	
25 	0.1996041883 	0.1996041883 	4.975979e-03 	
39 	0.2003202177 	0.2003202177 	4.975979e-03 	
824 	0.2010067159 	0.2010067159 	4.975979e-03 	
1562 	0.2011136107 	0.2011136107 	4.975979e-03 	
1051 	0.2016554456 	0.2016554456 	4.975979e-03 	
1810 	0.2020043111 	0.2020043111 	4.975979e-03 	
831 	0.2022620358 	0.2022620358 	4.975979e-03 	
1031 	0.2023614402 	0.2023614402 	4.975979e-03 	
1808 	0.2028619436 	0.2028619436 	4.975979e-03 	
1097 	0.2034750062 	0.2034750062 	4.975979e-03 	
825 	0.203478369 	0.203478369 	4.975979e-03 	
47 	0.2035480082 	0.2035480082 	4.975979e-03 	
1312 	0.2037924173 	0.2037924173 	4.975979e-03 	
1920 	0.2039407995 	0.2039407995 	4.975979e-03 	
408 	0.2047232003 	0.2047232003 	4.975979e-03 	
859 	0.2048616537 	0.2048616537 	4.975979e-03 	
1906 	0.2049053046 	0.2049053046 	4.975979e-03 	
782 	0.2048992305 	0.2048992305 	4.975979e-03 	
1838 	0.2052257287 	0.2052257287 	4.975979e-03 	
262 	0.2052162453 	0.2052162453 	4.975979e-03 	
176 	0.2058199265 	0.2058199265 	4.975979e-03 	
1985 	0.2058787439 	0.2058787439 	4.975979e-03 	
1377 	0.2057743131 	0.2057743131 	4.975979e-03 	
473 	0.2059486408 	0.2059486408 	4.975979e-03 	
1553 	0.2064043704 	0.2064043704 	4.975979e-03 	
1778 	0.2076343102 	0.2076343102 	4.975979e-03 	
1415 	0.206396867 	0.206396867 	4.975979e-03 	
614 	0.2076318217 	0.2076318217 	4.975979e-03 	
1542 	0.2075014125 	0.2075014125 	4.975979e-03 	
1103 	0.2079332129 	0.2079332129 	4.975979e-03 	
847 	0.2081153485 	0.2081153485 	4.975979e-03 	
1984 	0.2083237061 	0.2083237061 	4.975979e-03 	
1269 	0.206115177 	0.206115177 	4.975979e-03 	
1909 	0.208371545 	0.208371545 	4.975979e-03 	
1535 	0.208400424 	0.208400424 	4.975979e-03 	
937 	0.2085490417 	0.2085490417 	4.975979e-03 	
1872 	0.2086661513 	0.2086661513 	4.975979e-03 	
156 	0.2087856888 	0.2087856888 	4.975979e-03 	
227 	0.2089758243 	0.2089758243 	4.975979e-03 	
1001 	0.2092781566 	0.2092781566 	4.975979e-03 	
1556 	0.2094600958 	0.2094600958 	4.975979e-03 	
1719 	0.2101651605 	0.2101651605 	4.975979e-03 	
