num       tox                 	h0         	stress vth value	 stress ids value 	aged vth value 	   aged ids value 
1054 	5.5e-09  	74265.73918 	466.826 mV             	3.18282 mA      	636.868 mV        	2.67253 mA   
45 	5.5e-09  	74321.06557 	466.826 mV             	3.18282 mA      	636.84 mV        	2.67264 mA   
1483 	5.5e-09  	74323.09418 	466.826 mV             	3.18282 mA      	636.839 mV        	2.67264 mA   
1236 	5.5e-09  	74328.55613 	466.826 mV             	3.18282 mA      	636.836 mV        	2.67265 mA   
755 	5.5e-09  	74341.88956 	466.826 mV             	3.18282 mA      	636.829 mV        	2.67268 mA   
1560 	5.5e-09  	74347.462 	466.826 mV             	3.18282 mA      	636.826 mV        	2.67269 mA   
266 	5.5e-09  	74349.83988 	466.826 mV             	3.18282 mA      	636.825 mV        	2.67269 mA   
1756 	5.5e-09  	74358.10943 	466.826 mV             	3.18282 mA      	636.821 mV        	2.67271 mA   
1120 	5.5e-09  	74373.028 	466.826 mV             	3.18282 mA      	636.813 mV        	2.67274 mA   
1630 	5.5e-09  	74390.48964 	466.826 mV             	3.18282 mA      	636.804 mV        	2.67277 mA   
1049 	5.5e-09  	74408.94548 	466.826 mV             	3.18282 mA      	636.795 mV        	2.67281 mA   
269 	5.5e-09  	74439.36364 	466.826 mV             	3.18282 mA      	636.779 mV        	2.67287 mA   
1218 	5.5e-09  	74489.47878 	466.826 mV             	3.18282 mA      	636.753 mV        	2.67296 mA   
1626 	5.5e-09  	74521.18953 	466.826 mV             	3.18282 mA      	636.737 mV        	2.67302 mA   
1300 	5.5e-09  	74526.90817 	466.826 mV             	3.18282 mA      	636.734 mV        	2.67304 mA   
475 	5.5e-09  	74540.7837 	466.826 mV             	3.18282 mA      	636.727 mV        	2.67306 mA   
737 	5.5e-09  	74552.51887 	466.826 mV             	3.18282 mA      	636.721 mV        	2.67309 mA   
968 	5.5e-09  	74565.05972 	466.826 mV             	3.18282 mA      	636.715 mV        	2.67311 mA   
1913 	5.5e-09  	74588.94417 	466.826 mV             	3.18282 mA      	636.703 mV        	2.67316 mA   
242 	5.5e-09  	74589.92394 	466.826 mV             	3.18282 mA      	636.702 mV        	2.67316 mA   
260 	5.5e-09  	74591.17378 	466.826 mV             	3.18282 mA      	636.701 mV        	2.67316 mA   
1104 	5.5e-09  	74594.68212 	466.826 mV             	3.18282 mA      	636.7 mV        	2.67317 mA   
1259 	5.5e-09  	74657.61541 	466.826 mV             	3.18282 mA      	636.668 mV        	2.67329 mA   
1763 	5.5e-09  	74671.54986 	466.826 mV             	3.18282 mA      	636.66 mV        	2.67332 mA   
1987 	5.5e-09  	74646.92317 	466.826 mV             	3.18282 mA      	636.673 mV        	2.67327 mA   
1950 	5.5e-09  	74645.27311 	466.826 mV             	3.18282 mA      	636.674 mV        	2.67326 mA   
773 	5.5e-09  	74686.45098 	466.826 mV             	3.18282 mA      	636.653 mV        	2.67334 mA   
1212 	5.5e-09  	74704.21 	466.826 mV             	3.18282 mA      	636.644 mV        	2.67338 mA   
590 	5.5e-09  	74717.93506 	466.826 mV             	3.18282 mA      	636.637 mV        	2.67341 mA   
1918 	5.5e-09  	74741.99859 	466.826 mV             	3.18282 mA      	636.624 mV        	2.67345 mA   
1524 	5.5e-09  	74775.27109 	466.826 mV             	3.18282 mA      	636.608 mV        	2.67352 mA   
1439 	5.5e-09  	74776.35239 	466.826 mV             	3.18282 mA      	636.607 mV        	2.67352 mA   
550 	5.5e-09  	74833.17995 	466.826 mV             	3.18282 mA      	636.578 mV        	2.67363 mA   
1770 	5.5e-09  	74845.73685 	466.826 mV             	3.18282 mA      	636.572 mV        	2.67365 mA   
169 	5.5e-09  	74873.00136 	466.826 mV             	3.18282 mA      	636.558 mV        	2.6737 mA   
315 	5.5e-09  	74936.74093 	466.826 mV             	3.18282 mA      	636.525 mV        	2.67383 mA   
1841 	5.5e-09  	74891.10419 	466.826 mV             	3.18282 mA      	636.549 mV        	2.67374 mA   
841 	5.5e-09  	75000.90175 	466.826 mV             	3.18282 mA      	636.493 mV        	2.67395 mA   
1085 	5.5e-09  	75001.71445 	466.826 mV             	3.18282 mA      	636.492 mV        	2.67395 mA   
896 	5.5e-09  	74983.02255 	466.826 mV             	3.18282 mA      	636.502 mV        	2.67392 mA   
1398 	5.5e-09  	74937.84596 	466.826 mV             	3.18282 mA      	636.525 mV        	2.67383 mA   
974 	5.5e-09  	75081.18892 	466.826 mV             	3.18282 mA      	636.452 mV        	2.67411 mA   
1754 	5.5e-09  	75051.17264 	466.826 mV             	3.18282 mA      	636.467 mV        	2.67405 mA   
196 	5.5e-09  	75094.87764 	466.826 mV             	3.18282 mA      	636.445 mV        	2.67413 mA   
1351 	5.5e-09  	75106.8513 	466.826 mV             	3.18282 mA      	636.439 mV        	2.67415 mA   
975 	5.5e-09  	75096.06308 	466.826 mV             	3.18282 mA      	636.445 mV        	2.67413 mA   
1271 	5.5e-09  	75107.06594 	466.826 mV             	3.18282 mA      	636.439 mV        	2.67416 mA   
111 	5.5e-09  	75025.44046 	466.826 mV             	3.18282 mA      	636.48 mV        	2.674 mA   
69 	5.5e-09  	75153.99731 	466.826 mV             	3.18282 mA      	636.415 mV        	2.67425 mA   
1533 	5.5e-09  	75108.78068 	466.826 mV             	3.18282 mA      	636.438 mV        	2.67416 mA   
98 	5.5e-09  	75201.84988 	466.826 mV             	3.18282 mA      	636.391 mV        	2.67434 mA   
667 	5.5e-09  	75181.95784 	466.826 mV             	3.18282 mA      	636.401 mV        	2.6743 mA   
119 	5.5e-09  	75213.1086 	466.826 mV             	3.18282 mA      	636.385 mV        	2.67436 mA   
910 	5.5e-09  	75225.33611 	466.826 mV             	3.18282 mA      	636.379 mV        	2.67438 mA   
1827 	5.5e-09  	75263.67186 	466.826 mV             	3.18282 mA      	636.36 mV        	2.67446 mA   
287 	5.5e-09  	75280.15543 	466.826 mV             	3.18282 mA      	636.351 mV        	2.67449 mA   
1968 	5.5e-09  	75263.72698 	466.826 mV             	3.18282 mA      	636.36 mV        	2.67446 mA   
484 	5.5e-09  	75293.35367 	466.826 mV             	3.18282 mA      	636.345 mV        	2.67451 mA   
1109 	5.5e-09  	75304.88289 	466.826 mV             	3.18282 mA      	636.339 mV        	2.67453 mA   
1127 	5.5e-09  	75388.06526 	466.826 mV             	3.18282 mA      	636.297 mV        	2.67469 mA   
1820 	5.5e-09  	75344.9276 	466.826 mV             	3.18282 mA      	636.319 mV        	2.67461 mA   
780 	5.5e-09  	75408.08459 	466.826 mV             	3.18282 mA      	636.287 mV        	2.67473 mA   
390 	5.5e-09  	75428.40378 	466.826 mV             	3.18282 mA      	636.276 mV        	2.67477 mA   
1022 	5.5e-09  	75415.47045 	466.826 mV             	3.18282 mA      	636.283 mV        	2.67475 mA   
823 	5.5e-09  	75425.49907 	466.826 mV             	3.18282 mA      	636.278 mV        	2.67477 mA   
1904 	5.5e-09  	75508.23963 	466.826 mV             	3.18282 mA      	636.236 mV        	2.67492 mA   
372 	5.5e-09  	75492.2477 	466.826 mV             	3.18282 mA      	636.244 mV        	2.67489 mA   
1882 	5.5e-09  	75452.80751 	466.826 mV             	3.18282 mA      	636.264 mV        	2.67482 mA   
1309 	5.5e-09  	75543.17501 	466.826 mV             	3.18282 mA      	636.219 mV        	2.67499 mA   
9 	5.5e-09  	75598.2651 	466.826 mV             	3.18282 mA      	636.191 mV        	2.67509 mA   
584 	5.5e-09  	75522.06547 	466.826 mV             	3.18282 mA      	636.229 mV        	2.67495 mA   
997 	5.5e-09  	75598.51796 	466.826 mV             	3.18282 mA      	636.191 mV        	2.6751 mA   
1371 	5.5e-09  	75605.75672 	466.826 mV             	3.18282 mA      	636.187 mV        	2.67511 mA   
147 	5.5e-09  	75616.34981 	466.826 mV             	3.18282 mA      	636.182 mV        	2.67513 mA   
1223 	5.5e-09  	75606.18115 	466.826 mV             	3.18282 mA      	636.187 mV        	2.67511 mA   
1875 	5.5e-09  	75653.0691 	466.826 mV             	3.18282 mA      	636.163 mV        	2.6752 mA   
1421 	5.5e-09  	75629.16208 	466.826 mV             	3.18282 mA      	636.175 mV        	2.67515 mA   
1590 	5.5e-09  	75671.94744 	466.826 mV             	3.18282 mA      	636.154 mV        	2.67524 mA   
322 	5.5e-09  	75687.75553 	466.826 mV             	3.18282 mA      	636.146 mV        	2.67527 mA   
1713 	5.5e-09  	75674.99924 	466.826 mV             	3.18282 mA      	636.152 mV        	2.67524 mA   
1553 	5.5e-09  	75770.8834 	466.826 mV             	3.18282 mA      	636.104 mV        	2.67542 mA   
1159 	5.5e-09  	75758.20871 	466.826 mV             	3.18282 mA      	636.111 mV        	2.6754 mA   
1469 	5.5e-09  	75773.48426 	466.826 mV             	3.18282 mA      	636.103 mV        	2.67543 mA   
194 	5.5e-09  	75719.91114 	466.826 mV             	3.18282 mA      	636.13 mV        	2.67533 mA   
1690 	5.5e-09  	75696.57641 	466.826 mV             	3.18282 mA      	636.142 mV        	2.67528 mA   
1364 	5.5e-09  	75802.25847 	466.826 mV             	3.18282 mA      	636.088 mV        	2.67548 mA   
835 	5.5e-09  	75802.55077 	466.826 mV             	3.18282 mA      	636.088 mV        	2.67548 mA   
1530 	5.5e-09  	75788.20317 	466.826 mV             	3.18282 mA      	636.096 mV        	2.67546 mA   
1665 	5.5e-09  	75806.72344 	466.826 mV             	3.18282 mA      	636.086 mV        	2.67549 mA   
979 	5.5e-09  	75870.40718 	466.826 mV             	3.18282 mA      	636.054 mV        	2.67561 mA   
878 	5.5e-09  	75896.0618 	466.826 mV             	3.18282 mA      	636.041 mV        	2.67566 mA   
1675 	5.5e-09  	75835.14499 	466.826 mV             	3.18282 mA      	636.072 mV        	2.67555 mA   
883 	5.5e-09  	75906.57274 	466.826 mV             	3.18282 mA      	636.036 mV        	2.67568 mA   
744 	5.5e-09  	75923.90293 	466.826 mV             	3.18282 mA      	636.028 mV        	2.67571 mA   
905 	5.5e-09  	75989.12491 	466.826 mV             	3.18282 mA      	635.995 mV        	2.67584 mA   
46 	5.5e-09  	76032.12496 	466.826 mV             	3.18282 mA      	635.973 mV        	2.67592 mA   
172 	5.5e-09  	75931.56674 	466.826 mV             	3.18282 mA      	636.024 mV        	2.67573 mA   
1884 	5.5e-09  	75967.02514 	466.826 mV             	3.18282 mA      	636.006 mV        	2.6758 mA   
1264 	5.5e-09  	76039.41545 	466.826 mV             	3.18282 mA      	635.97 mV        	2.67593 mA   
933 	5.5e-09  	75917.76106 	466.826 mV             	3.18282 mA      	636.031 mV        	2.6757 mA   
324 	5.5e-09  	76044.46531 	466.826 mV             	3.18282 mA      	635.967 mV        	2.67594 mA   
273 	5.5e-09  	76082.61861 	466.826 mV             	3.18282 mA      	635.948 mV        	2.67601 mA   
632 	5.5e-09  	76102.26222 	466.826 mV             	3.18282 mA      	635.938 mV        	2.67605 mA   
426 	5.5e-09  	76116.50373 	466.826 mV             	3.18282 mA      	635.931 mV        	2.67608 mA   
589 	5.5e-09  	76106.74682 	466.826 mV             	3.18282 mA      	635.936 mV        	2.67606 mA   
1430 	5.5e-09  	76126.45699 	466.826 mV             	3.18282 mA      	635.926 mV        	2.6761 mA   
676 	5.5e-09  	76158.79982 	466.826 mV             	3.18282 mA      	635.91 mV        	2.67616 mA   
429 	5.5e-09  	76183.76645 	466.826 mV             	3.18282 mA      	635.898 mV        	2.6762 mA   
1900 	5.5e-09  	76219.4722 	466.826 mV             	3.18282 mA      	635.88 mV        	2.67627 mA   
1510 	5.5e-09  	76231.54294 	466.826 mV             	3.18282 mA      	635.874 mV        	2.67629 mA   
231 	5.5e-09  	76242.20438 	466.826 mV             	3.18282 mA      	635.869 mV        	2.67632 mA   
1693 	5.5e-09  	76313.38564 	466.826 mV             	3.18282 mA      	635.833 mV        	2.67645 mA   
1629 	5.5e-09  	76304.82312 	466.826 mV             	3.18282 mA      	635.837 mV        	2.67643 mA   
1967 	5.5e-09  	76295.81592 	466.826 mV             	3.18282 mA      	635.842 mV        	2.67642 mA   
233 	5.5e-09  	76346.54858 	466.826 mV             	3.18282 mA      	635.817 mV        	2.67651 mA   
413 	5.5e-09  	76314.56973 	466.826 mV             	3.18282 mA      	635.833 mV        	2.67645 mA   
639 	5.5e-09  	76339.43152 	466.826 mV             	3.18282 mA      	635.82 mV        	2.6765 mA   
1323 	5.5e-09  	76321.52155 	466.826 mV             	3.18282 mA      	635.829 mV        	2.67646 mA   
784 	5.5e-09  	76250.57765 	466.826 mV             	3.18282 mA      	635.864 mV        	2.67633 mA   
1777 	5.5e-09  	76388.79178 	466.826 mV             	3.18282 mA      	635.796 mV        	2.67659 mA   
1891 	5.5e-09  	76385.90599 	466.826 mV             	3.18282 mA      	635.797 mV        	2.67659 mA   
1488 	5.5e-09  	76354.59052 	466.826 mV             	3.18282 mA      	635.813 mV        	2.67653 mA   
1380 	5.5e-09  	76355.78419 	466.826 mV             	3.18282 mA      	635.812 mV        	2.67653 mA   
1855 	5.5e-09  	76399.6123 	466.826 mV             	3.18282 mA      	635.79 mV        	2.67661 mA   
994 	5.5e-09  	76363.84107 	466.826 mV             	3.18282 mA      	635.808 mV        	2.67654 mA   
410 	5.5e-09  	76521.85495 	466.826 mV             	3.18282 mA      	635.73 mV        	2.67684 mA   
520 	5.5e-09  	76479.83743 	466.826 mV             	3.18282 mA      	635.75 mV        	2.67676 mA   
762 	5.5e-09  	76534.19397 	466.826 mV             	3.18282 mA      	635.724 mV        	2.67686 mA   
297 	5.5e-09  	76454.87109 	466.826 mV             	3.18282 mA      	635.763 mV        	2.67672 mA   
215 	5.5e-09  	76534.89821 	466.826 mV             	3.18282 mA      	635.723 mV        	2.67687 mA   
1759 	5.5e-09  	76584.82905 	466.826 mV             	3.18282 mA      	635.698 mV        	2.67696 mA   
1716 	5.5e-09  	76473.48255 	466.826 mV             	3.18282 mA      	635.754 mV        	2.67675 mA   
63 	5.5e-09  	76620.93875 	466.826 mV             	3.18282 mA      	635.681 mV        	2.67703 mA   
1387 	5.5e-09  	76595.41814 	466.826 mV             	3.18282 mA      	635.693 mV        	2.67698 mA   
1540 	5.5e-09  	76547.88481 	466.826 mV             	3.18282 mA      	635.717 mV        	2.67689 mA   
360 	5.5e-09  	76613.53674 	466.826 mV             	3.18282 mA      	635.684 mV        	2.67701 mA   
917 	5.5e-09  	76604.77431 	466.826 mV             	3.18282 mA      	635.689 mV        	2.677 mA   
1512 	5.5e-09  	76640.1847 	466.826 mV             	3.18282 mA      	635.671 mV        	2.67706 mA   
612 	5.5e-09  	76640.72646 	466.826 mV             	3.18282 mA      	635.671 mV        	2.67706 mA   
1890 	5.5e-09  	76659.58312 	466.826 mV             	3.18282 mA      	635.661 mV        	2.6771 mA   
502 	5.5e-09  	76689.98339 	466.826 mV             	3.18282 mA      	635.646 mV        	2.67716 mA   
800 	5.5e-09  	76691.54592 	466.826 mV             	3.18282 mA      	635.646 mV        	2.67716 mA   
765 	5.5e-09  	76700.72942 	466.826 mV             	3.18282 mA      	635.641 mV        	2.67718 mA   
1658 	5.5e-09  	76762.2608 	466.826 mV             	3.18282 mA      	635.611 mV        	2.67729 mA   
1086 	5.5e-09  	76763.33229 	466.826 mV             	3.18282 mA      	635.61 mV        	2.67729 mA   
1027 	5.5e-09  	76765.48612 	466.826 mV             	3.18282 mA      	635.609 mV        	2.6773 mA   
1425 	5.5e-09  	76770.69029 	466.826 mV             	3.18282 mA      	635.606 mV        	2.67731 mA   
1842 	5.5e-09  	76820.09311 	466.826 mV             	3.18282 mA      	635.582 mV        	2.6774 mA   
1040 	5.5e-09  	76826.99753 	466.826 mV             	3.18282 mA      	635.579 mV        	2.67741 mA   
1336 	5.5e-09  	76788.59224 	466.826 mV             	3.18282 mA      	635.598 mV        	2.67734 mA   
83 	5.5e-09  	76821.32973 	466.826 mV             	3.18282 mA      	635.581 mV        	2.6774 mA   
1494 	5.5e-09  	76806.05005 	466.826 mV             	3.18282 mA      	635.589 mV        	2.67737 mA   
1925 	5.5e-09  	76905.10772 	466.826 mV             	3.18282 mA      	635.54 mV        	2.67756 mA   
238 	5.5e-09  	76863.80091 	466.826 mV             	3.18282 mA      	635.56 mV        	2.67748 mA   
1278 	5.5e-09  	76945.58884 	466.826 mV             	3.18282 mA      	635.52 mV        	2.67763 mA   
1782 	5.5e-09  	76948.55521 	466.826 mV             	3.18282 mA      	635.519 mV        	2.67764 mA   
497 	5.5e-09  	76905.47833 	466.826 mV             	3.18282 mA      	635.54 mV        	2.67756 mA   
449 	5.5e-09  	76964.5382 	466.826 mV             	3.18282 mA      	635.511 mV        	2.67767 mA   
454 	5.5e-09  	76984.00905 	466.826 mV             	3.18282 mA      	635.501 mV        	2.6777 mA   
1214 	5.5e-09  	77008.4951 	466.826 mV             	3.18282 mA      	635.489 mV        	2.67775 mA   
252 	5.5e-09  	77049.54631 	466.826 mV             	3.18282 mA      	635.469 mV        	2.67783 mA   
1831 	5.5e-09  	77091.60289 	466.826 mV             	3.18282 mA      	635.448 mV        	2.67791 mA   
1091 	5.5e-09  	77075.13276 	466.826 mV             	3.18282 mA      	635.456 mV        	2.67787 mA   
911 	5.5e-09  	77134.32815 	466.826 mV             	3.18282 mA      	635.427 mV        	2.67798 mA   
1288 	5.5e-09  	77150.28443 	466.826 mV             	3.18282 mA      	635.419 mV        	2.67801 mA   
1922 	5.5e-09  	77157.08009 	466.826 mV             	3.18282 mA      	635.416 mV        	2.67803 mA   
1209 	5.5e-09  	77065.46863 	466.826 mV             	3.18282 mA      	635.461 mV        	2.67786 mA   
714 	5.5e-09  	77138.24072 	466.826 mV             	3.18282 mA      	635.425 mV        	2.67799 mA   
64 	5.5e-09  	77240.13046 	466.826 mV             	3.18282 mA      	635.375 mV        	2.67818 mA   
717 	5.5e-09  	77058.6333 	466.826 mV             	3.18282 mA      	635.464 mV        	2.67784 mA   
1588 	5.5e-09  	77297.33001 	466.826 mV             	3.18282 mA      	635.347 mV        	2.67829 mA   
892 	5.5e-09  	77219.2965 	466.826 mV             	3.18282 mA      	635.386 mV        	2.67814 mA   
1075 	5.5e-09  	77238.19447 	466.826 mV             	3.18282 mA      	635.376 mV        	2.67818 mA   
379 	5.5e-09  	77276.53045 	466.826 mV             	3.18282 mA      	635.357 mV        	2.67825 mA   
1631 	5.5e-09  	77306.12262 	466.826 mV             	3.18282 mA      	635.343 mV        	2.6783 mA   
1015 	5.5e-09  	77321.08053 	466.826 mV             	3.18282 mA      	635.336 mV        	2.67833 mA   
1801 	5.5e-09  	77415.31883 	466.826 mV             	3.18282 mA      	635.289 mV        	2.67851 mA   
1640 	5.5e-09  	77343.22581 	466.826 mV             	3.18282 mA      	635.325 mV        	2.67837 mA   
331 	5.5e-09  	77425.85447 	466.826 mV             	3.18282 mA      	635.284 mV        	2.67852 mA   
1611 	5.5e-09  	77474.62327 	466.826 mV             	3.18282 mA      	635.26 mV        	2.67861 mA   
928 	5.5e-09  	77440.25169 	466.826 mV             	3.18282 mA      	635.277 mV        	2.67855 mA   
818 	5.5e-09  	77521.41296 	466.826 mV             	3.18282 mA      	635.238 mV        	2.6787 mA   
1279 	5.5e-09  	77576.88399 	466.826 mV             	3.18282 mA      	635.21 mV        	2.6788 mA   
1881 	5.5e-09  	77559.9351 	466.826 mV             	3.18282 mA      	635.219 mV        	2.67877 mA   
1029 	5.5e-09  	77557.05771 	466.826 mV             	3.18282 mA      	635.22 mV        	2.67877 mA   
1464 	5.5e-09  	77462.11929 	466.826 mV             	3.18282 mA      	635.267 mV        	2.67859 mA   
112 	5.5e-09  	77458.25096 	466.826 mV             	3.18282 mA      	635.268 mV        	2.67858 mA   
903 	5.5e-09  	77494.01538 	466.826 mV             	3.18282 mA      	635.251 mV        	2.67865 mA   
844 	5.5e-09  	77535.80858 	466.826 mV             	3.18282 mA      	635.231 mV        	2.67873 mA   
378 	5.5e-09  	77594.43201 	466.826 mV             	3.18282 mA      	635.202 mV        	2.67884 mA   
152 	5.5e-09  	77651.50074 	466.826 mV             	3.18282 mA      	635.174 mV        	2.67894 mA   
1008 	5.5e-09  	77654.36574 	466.826 mV             	3.18282 mA      	635.173 mV        	2.67895 mA   
1602 	5.5e-09  	77642.30193 	466.826 mV             	3.18282 mA      	635.179 mV        	2.67892 mA   
951 	5.5e-09  	77472.50613 	466.826 mV             	3.18282 mA      	635.261 mV        	2.67861 mA   
1970 	5.5e-09  	77667.4006 	466.826 mV             	3.18282 mA      	635.166 mV        	2.67897 mA   
158 	5.5e-09  	77608.52533 	466.826 mV             	3.18282 mA      	635.195 mV        	2.67886 mA   
1959 	5.5e-09  	77680.87114 	466.826 mV             	3.18282 mA      	635.16 mV        	2.679 mA   
1973 	5.5e-09  	77685.42237 	466.826 mV             	3.18282 mA      	635.158 mV        	2.679 mA   
1155 	5.5e-09  	77692.25624 	466.826 mV             	3.18282 mA      	635.154 mV        	2.67902 mA   
239 	5.5e-09  	77688.10234 	466.826 mV             	3.18282 mA      	635.156 mV        	2.67901 mA   
130 	5.5e-09  	77697.29333 	466.826 mV             	3.18282 mA      	635.152 mV        	2.67903 mA   
1161 	5.5e-09  	77697.54317 	466.826 mV             	3.18282 mA      	635.152 mV        	2.67903 mA   
108 	5.5e-09  	77699.76434 	466.826 mV             	3.18282 mA      	635.151 mV        	2.67903 mA   
657 	5.5e-09  	77730.22651 	466.826 mV             	3.18282 mA      	635.136 mV        	2.67909 mA   
1567 	5.5e-09  	77769.0603 	466.826 mV             	3.18282 mA      	635.117 mV        	2.67916 mA   
49 	5.5e-09  	77755.31537 	466.826 mV             	3.18282 mA      	635.123 mV        	2.67913 mA   
1652 	5.5e-09  	77741.92958 	466.826 mV             	3.18282 mA      	635.13 mV        	2.67911 mA   
1624 	5.5e-09  	77988.19007 	466.826 mV             	3.18282 mA      	635.01 mV        	2.67956 mA   
1121 	5.5e-09  	77772.39849 	466.826 mV             	3.18282 mA      	635.115 mV        	2.67916 mA   
715 	5.5e-09  	77877.51736 	466.826 mV             	3.18282 mA      	635.064 mV        	2.67936 mA   
1166 	5.5e-09  	77829.50366 	466.826 mV             	3.18282 mA      	635.087 mV        	2.67927 mA   
555 	5.5e-09  	77867.26299 	466.826 mV             	3.18282 mA      	635.069 mV        	2.67934 mA   
678 	5.5e-09  	77892.249 	466.826 mV             	3.18282 mA      	635.057 mV        	2.67938 mA   
35 	5.5e-09  	77908.4687 	466.826 mV             	3.18282 mA      	635.049 mV        	2.67941 mA   
1173 	5.5e-09  	77989.56775 	466.826 mV             	3.18282 mA      	635.01 mV        	2.67956 mA   
662 	5.5e-09  	77884.20876 	466.826 mV             	3.18282 mA      	635.061 mV        	2.67937 mA   
1638 	5.5e-09  	77932.77531 	466.826 mV             	3.18282 mA      	635.037 mV        	2.67946 mA   
245 	5.5e-09  	77991.67309 	466.826 mV             	3.18282 mA      	635.009 mV        	2.67957 mA   
321 	5.5e-09  	78010.8251 	466.826 mV             	3.18282 mA      	634.999 mV        	2.6796 mA   
44 	5.5e-09  	78010.98793 	466.826 mV             	3.18282 mA      	634.999 mV        	2.6796 mA   
19 	5.5e-09  	78030.61823 	466.826 mV             	3.18282 mA      	634.99 mV        	2.67964 mA   
1224 	5.5e-09  	77771.41297 	466.826 mV             	3.18282 mA      	635.116 mV        	2.67916 mA   
548 	5.5e-09  	77936.24992 	466.826 mV             	3.18282 mA      	635.035 mV        	2.67946 mA   
28 	5.5e-09  	77987.47997 	466.826 mV             	3.18282 mA      	635.011 mV        	2.67956 mA   
673 	5.5e-09  	77938.75634 	466.826 mV             	3.18282 mA      	635.034 mV        	2.67947 mA   
1943 	5.5e-09  	77981.64604 	466.826 mV             	3.18282 mA      	635.013 mV        	2.67955 mA   
490 	5.5e-09  	78067.6814 	466.826 mV             	3.18282 mA      	634.972 mV        	2.67971 mA   
1234 	5.5e-09  	78060.34037 	466.826 mV             	3.18282 mA      	634.975 mV        	2.67969 mA   
1237 	5.5e-09  	78038.88385 	466.826 mV             	3.18282 mA      	634.986 mV        	2.67965 mA   
1071 	5.5e-09  	78109.9107 	466.826 mV             	3.18282 mA      	634.951 mV        	2.67978 mA   
854 	5.5e-09  	78111.99158 	466.826 mV             	3.18282 mA      	634.95 mV        	2.67979 mA   
133 	5.5e-09  	78115.32485 	466.826 mV             	3.18282 mA      	634.949 mV        	2.67979 mA   
174 	5.5e-09  	78122.11385 	466.826 mV             	3.18282 mA      	634.945 mV        	2.67981 mA   
653 	5.5e-09  	78191.21104 	466.826 mV             	3.18282 mA      	634.912 mV        	2.67993 mA   
1547 	5.5e-09  	78185.30754 	466.826 mV             	3.18282 mA      	634.915 mV        	2.67992 mA   
603 	5.5e-09  	78155.30563 	466.826 mV             	3.18282 mA      	634.929 mV        	2.67987 mA   
1773 	5.5e-09  	78188.75687 	466.826 mV             	3.18282 mA      	634.913 mV        	2.67993 mA   
1148 	5.5e-09  	78272.79264 	466.826 mV             	3.18282 mA      	634.872 mV        	2.68008 mA   
530 	5.5e-09  	78246.95723 	466.826 mV             	3.18282 mA      	634.885 mV        	2.68003 mA   
1345 	5.5e-09  	78197.58669 	466.826 mV             	3.18282 mA      	634.909 mV        	2.67994 mA   
969 	5.5e-09  	78321.75734 	466.826 mV             	3.18282 mA      	634.849 mV        	2.68017 mA   
532 	5.5e-09  	78244.38671 	466.826 mV             	3.18282 mA      	634.886 mV        	2.68003 mA   
857 	5.5e-09  	78310.2646 	466.826 mV             	3.18282 mA      	634.854 mV        	2.68015 mA   
1036 	5.5e-09  	78345.21192 	466.826 mV             	3.18282 mA      	634.837 mV        	2.68021 mA   
720 	5.5e-09  	78371.88815 	466.826 mV             	3.18282 mA      	634.825 mV        	2.68026 mA   
1034 	5.5e-09  	78397.02337 	466.826 mV             	3.18282 mA      	634.812 mV        	2.68031 mA   
539 	5.5e-09  	78297.27478 	466.826 mV             	3.18282 mA      	634.861 mV        	2.68012 mA   
1757 	5.5e-09  	78281.88381 	466.826 mV             	3.18282 mA      	634.868 mV        	2.6801 mA   
1250 	5.5e-09  	78302.13673 	466.826 mV             	3.18282 mA      	634.858 mV        	2.68013 mA   
1952 	5.5e-09  	78459.83948 	466.826 mV             	3.18282 mA      	634.782 mV        	2.68042 mA   
1945 	5.5e-09  	78465.68733 	466.826 mV             	3.18282 mA      	634.779 mV        	2.68043 mA   
1253 	5.5e-09  	78421.99606 	466.826 mV             	3.18282 mA      	634.8 mV        	2.68035 mA   
1798 	5.5e-09  	78460.60391 	466.826 mV             	3.18282 mA      	634.782 mV        	2.68042 mA   
1359 	5.5e-09  	78490.79736 	466.826 mV             	3.18282 mA      	634.767 mV        	2.68048 mA   
1691 	5.5e-09  	78477.72565 	466.826 mV             	3.18282 mA      	634.774 mV        	2.68045 mA   
1792 	5.5e-09  	78532.25938 	466.826 mV             	3.18282 mA      	634.747 mV        	2.68055 mA   
1003 	5.5e-09  	78520.20329 	466.826 mV             	3.18282 mA      	634.753 mV        	2.68053 mA   
1840 	5.5e-09  	78566.23366 	466.826 mV             	3.18282 mA      	634.731 mV        	2.68061 mA   
1633 	5.5e-09  	78523.15853 	466.826 mV             	3.18282 mA      	634.752 mV        	2.68054 mA   
440 	5.5e-09  	78573.61462 	466.826 mV             	3.18282 mA      	634.727 mV        	2.68063 mA   
90 	5.5e-09  	78579.001 	466.826 mV             	3.18282 mA      	634.725 mV        	2.68064 mA   
742 	5.5e-09  	78606.54003 	466.826 mV             	3.18282 mA      	634.712 mV        	2.68069 mA   
1196 	5.5e-09  	78655.18291 	466.826 mV             	3.18282 mA      	634.688 mV        	2.68078 mA   
1577 	5.5e-09  	78682.1864 	466.826 mV             	3.18282 mA      	634.675 mV        	2.68082 mA   
1017 	5.5e-09  	78686.16075 	466.826 mV             	3.18282 mA      	634.673 mV        	2.68083 mA   
