num 	tox 	h0 	age_value 
636 	5.5e-09 	110127.7413 	3.768908e-03 	
1657 	5.5e-09 	110600.234 	3.752807e-03 	
1072 	5.5e-09 	110811.8349 	3.745641e-03 	
31 	5.5e-09 	110878.2992 	3.743396e-03 	
1417 	5.5e-09 	110958.8345 	3.740679e-03 	
1554 	5.5e-09 	111627.9969 	3.718255e-03 	
1506 	5.5e-09 	112722.9031 	3.682139e-03 	
116 	5.5e-09 	112890.7888 	3.676663e-03 	
1896 	5.5e-09 	113743.503 	3.649100e-03 	
1115 	5.5e-09 	113018.7094 	3.672501e-03 	
1436 	5.5e-09 	114560.8929 	3.623063e-03 	
201 	5.5e-09 	47267.8808 	8.781045e-03 	
1018 	5.5e-09 	123066.9773 	3.372646e-03 	
1165 	5.5e-09 	126283.1793 	3.286751e-03 	
1732 	5.5e-09 	52600.08844 	7.890887e-03 	
104 	5.5e-09 	54880.39074 	7.563018e-03 	
1823 	5.5e-09 	56132.73155 	7.394284e-03 	
1982 	5.5e-09 	47900.48575 	8.665076e-03 	
472 	5.5e-09 	49042.92637 	8.463226e-03 	
1908 	5.5e-09 	54481.32049 	7.618416e-03 	
274 	5.5e-09 	56138.53634 	7.393520e-03 	
162 	5.5e-09 	56361.86484 	7.364224e-03 	
1274 	5.5e-09 	56430.71036 	7.355239e-03 	
759 	5.5e-09 	56879.84173 	7.297161e-03 	
1169 	5.5e-09 	56684.42506 	7.322318e-03 	
859 	5.5e-09 	57433.65785 	7.226797e-03 	
1637 	5.5e-09 	57724.43931 	7.190392e-03 	
1648 	5.5e-09 	57779.06625 	7.183594e-03 	
998 	5.5e-09 	58315.65313 	7.117495e-03 	
1711 	5.5e-09 	58647.6631 	7.077202e-03 	
377 	5.5e-09 	58838.48157 	7.054250e-03 	
909 	5.5e-09 	58732.62411 	7.066965e-03 	
640 	5.5e-09 	58917.43999 	7.044796e-03 	
435 	5.5e-09 	59127.24682 	7.019799e-03 	
1527 	5.5e-09 	59277.99957 	7.001946e-03 	
1347 	5.5e-09 	59461.83766 	6.980298e-03 	
738 	5.5e-09 	59528.02962 	6.972537e-03 	
649 	5.5e-09 	59555.24556 	6.969350e-03 	
